position_id,timestamp,amount0,amount1,liquidity,current_tick,current,type,owner,prices_token0_usd,prices_token0_eth,prices_token0_token1,prices_token0_token_key,prices_token1_usd,prices_token1_eth,prices_token1_token0,prices_token1_token_key,prices_native_token_usd,prices_native_token_eth,prices_native_token_token0,prices_native_token_token1,prices_native_token_token_key
4233532_0xc207961dc90ddc4f6c9b236964e6d6e2a495dc97,1745830641,1.145544024,0,191417430388879,-201327,True,current-amount-state,0xc207961dc90ddc4f6c9b236964e6d6e2a495dc97,1806.639301,1,1808.370452,token0,0.9990427014,0.000552984041038019,0.000552984041,token1,1806.639301,1,1,1808.370452,native-token
1965711_0x051d091b254ecdbbb4eb8e6311b7939829380b27,1745830652,0,0.0,0,68511,True,current-amount-state,0x051d091b254ecdbbb4eb8e6311b7939829380b27,94558.81458,52.339620049069296,94649.42234,token0,0.9990427014,0.000552984041038019,1.056530484e-05,token1,1806.639301,1,0.01910598508,1808.370452,native-token
4174_0xbf246450f226f236ffd523dd527d28c5a852d6dd,1745830716,0.0,0.0,0,-201320,True,current-amount-state,0xbf246450f226f236ffd523dd527d28c5a852d6dd,1808.010734,1,1808.157304,token0,0.9999189395,0.0005530492272778311,0.0005530492273,token1,1808.010734,1,1,1808.157304,native-token
402709_0x8c9af878a44678b49aef8c60ab0e90ffd9271e54,1745830651,0.0,0,0,-290394,True,current-amount-state,0x8c9af878a44678b49aef8c60ab0e90ffd9271e54,0.2421772978,0.00013400092378204297,0.2421772978,token0,1.0,0.0005533174456030549,4.129206202,token1,1807.280808,1,7462.635121,1807.280808,native-token
21557_0x0bcc7af222cb7b848fc8f2b9c11978bc3cc6ac59,1745830627,0.0,0.0,0,-276321,True,current-amount-state,0x0bcc7af222cb7b848fc8f2b9c11978bc3cc6ac59,1.0,0.0005533174456030549,1,token0,1.0,0.0005533174456030549,1,token1,1807.280808,1,1807.280808,1807.280808,native-token
463511_0x051d091b254ecdbbb4eb8e6311b7939829380b27,1745830653,0,0.0,0,-276328,True,current-amount-state,0x051d091b254ecdbbb4eb8e6311b7939829380b27,1.0,0.0005533174456030549,1,token0,1.0,0.0005533174456030549,1,token1,1807.280808,1,1807.280808,1807.280808,native-token
706445_0x051d091b254ecdbbb4eb8e6311b7939829380b27,1745830653,0,0.0,0,-275054,True,current-amount-state,0x051d091b254ecdbbb4eb8e6311b7939829380b27,1.16157295,0.000642718577770066,1.16157295,token0,1.0,0.0005533174456030549,0.8609015901,token1,1807.280808,1,1555.890921,1807.280808,native-token
318474_0x75e126db7f730fada6c3b879413bea339a357e50,1745830618,0.0,0.0,0,-201330,True,current-amount-state,0x75e126db7f730fada6c3b879413bea339a357e50,1807.280808,1,1807.280808,token0,1.0,0.0005533174456030549,0.0005533174456,token1,1807.280808,1,1,1807.280808,native-token
507729_0x75e126db7f730fada6c3b879413bea339a357e50,1745830618,0.0,0.0,0,-201330,True,current-amount-state,0x75e126db7f730fada6c3b879413bea339a357e50,1807.280808,1,1807.280808,token0,1.0,0.0005533174456030549,0.0005533174456,token1,1807.280808,1,1,1807.280808,native-token
716215_0xc76cadbbbbbc4dc6299aedb5202ae0c33b59f0a7,1745830641,0.0,0.0,0,-201330,True,current-amount-state,0xc76cadbbbbbc4dc6299aedb5202ae0c33b59f0a7,1807.280808,1,1807.280808,token0,1.0,0.0005533174456030549,0.0005533174456,token1,1807.280808,1,1,1807.280808,native-token
243013_0xc76cadbbbbbc4dc6299aedb5202ae0c33b59f0a7,1745830641,0.0,0.0,0,-201330,True,current-amount-state,0xc76cadbbbbbc4dc6299aedb5202ae0c33b59f0a7,1807.280808,1,1807.280808,token0,1.0,0.0005533174456030549,0.0005533174456,token1,1807.280808,1,1,1807.280808,native-token
212678_0xc76cadbbbbbc4dc6299aedb5202ae0c33b59f0a7,1745830641,0.0,0.0,0,-201330,True,current-amount-state,0xc76cadbbbbbc4dc6299aedb5202ae0c33b59f0a7,1807.280808,1,1807.280808,token0,1.0,0.0005533174456030549,0.0005533174456,token1,1807.280808,1,1,1807.280808,native-token
736933_0xc76cadbbbbbc4dc6299aedb5202ae0c33b59f0a7,1745830641,0.0,0,0,-201330,True,current-amount-state,0xc76cadbbbbbc4dc6299aedb5202ae0c33b59f0a7,1807.280808,1,1807.280808,token0,1.0,0.0005533174456030549,0.0005533174456,token1,1807.280808,1,1,1807.280808,native-token
793060_0xc207961dc90ddc4f6c9b236964e6d6e2a495dc97,1745830642,0.0,0,0,-201330,True,current-amount-state,0xc207961dc90ddc4f6c9b236964e6d6e2a495dc97,1807.280808,1,1807.280808,token0,1.0,0.0005533174456030549,0.0005533174456,token1,1807.280808,1,1,1807.280808,native-token
807411_0xc207961dc90ddc4f6c9b236964e6d6e2a495dc97,1745830642,0.0,0,0,-201323,True,current-amount-state,0xc207961dc90ddc4f6c9b236964e6d6e2a495dc97,1807.280808,1,1807.280808,token0,1.0,0.0005533174456030549,0.0005533174456,token1,1807.280808,1,1,1807.280808,native-token
793139_0xc207961dc90ddc4f6c9b236964e6d6e2a495dc97,1745830642,0.0,0,0,-201323,True,current-amount-state,0xc207961dc90ddc4f6c9b236964e6d6e2a495dc97,1807.280808,1,1807.280808,token0,1.0,0.0005533174456030549,0.0005533174456,token1,1807.280808,1,1,1807.280808,native-token
